_id,store_id,address,landmark,pincode,city,latitude,longitude,opening_hours
58,58,"Bysandra Road Jayanagara,
3rd block, Ply ground beside,
Bangalore-11","Jayanagara
Swimming Pool",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
59,59,"Bangalore Club, Richmond
Circle, Resideny Road,
Bangalore-25",Hotel Sarovara,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
60,60,"22nd Cross Milk booth,
6th Block, Jayanagara,
Bangalore-82",Yediur Lake,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
61,61,"Akshya Complex, Military
Campas, Jalahalli, Bangalore",Jalahalli,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
62,62,"10th A Cross, Brakar ply
ground, Kumara Park West,
Bangalore",Madhavanagara,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
63,63,"4th Cross, 2nd Main Ganga
Nagara, Mekhri Circle,
Bangalore",Hebbal Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
64,64,"7th main, 17th E Cross
Milk Booth, 1st stage,
Indhiranagara, Bangalore","Hindu
Cretorium",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
65,65,"27th Cross, Milk booth,
2nd Block, Rajajinagara,
Bangalore-10",K.L.E College,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
66,66,"Canara bank Colony,
MudalaPalya, Vijayanagara,
Bangalore-40","Nagarabhavi
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
67,67,"12th C Main, 72ndCross,
Ganesh temple behind, 6th block,
Rajajinagara, Bangalore-10","B.B.M.P
Community
Center",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
68,68,"8th Cross Subbaiah Layout,
Serpentine Road, Kumar Park
West, Bangalore",B.D.A Office,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
69,69,"53th Cross, Milk Booth,
3rd block, Rajajinagara,
Bangalore-10","Community
Center",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
70,70,"2nd Main, 4th Cross,
Defence Colony, Indhiranagara,
Bangalore","100 Ft Road,
Indhiranagara",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
71,71,"11th Cross Road, Malleshwaram
Railway Station, Bangalore-3","10th Cross,
Malleshwaram",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
72,72,"3rd Main Milk booth,Saibaba
Temple, Someshwara Extension,
Cambridge Road, Bangalore-08",Alsoor,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
73,73,"6th Cros, 10th main, 1st Block
Jayanagara, Bangalore-11","Rani Saraladevi
School",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
74,74,"N.R.Colony, 1st Cross
Bus stand, Opposite to
Ramamandhira, Bangalore",Word Office,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
76,76,"7th Main ,15th Cross,
Corporation Market,
Lakkasandra, Bangalore","Harilakshmi
theatre",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
77,77,"1st A Main 7th Block,
Jayanagara, Corporation
Hospital, Bangalore","Deepak
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
78,78,"9th cross 6th Main,
Sadhashivanagara, Bangalore",Swimming Pool,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
79,79,"46th Cross, 5th Block,
Jayanagara, Bangalore-41","Rajalakshmi
Nursing home",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
80,80,"2nd main, 16th main, Near
M.E.S College Malleshwaram,
Bangalore -41","M.L.A
Malleshwaram",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
82,82,"Primary Health Centre,
Munireddy Palya Main Road,
J.C Nagara, Bangalore-41",T.V Tower,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
83,83,"M.E.G.Center Military
Campus, Kallahalli,
Bangalore-08",Alsoor Lake,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
84,84,"15th Cross, Kadu
Malleshwaram Temple,
Malleshwaram, Bangalore-03","Chowdaiah
Memorial Hall",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
85,85,"Ramakrishna Ashrama circle,
North Road, Basavanagudi,
Bangalore-19",Ashrama Circle,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
86,86,"16th Cross, Basco Society,
3rd Block Jayanagara,
Pattalamma Temple,
Bangalore-11","Jyothi
Electronics",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
87,87,"Sheshadripuram, Police Station
Beside Nehru Nagara,
Bangalore","Sheshadri
college",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
88,88,"Civil Court Complex,
Kaveri Bhavan behind,
Bangalore-01","Opposite to
Central College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
89,89,"Akkithimmanahalli Road,
Shanthinagara, Bangalore",Longford Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
90,90,"K.G.Park milkbooth, Basappa
Layout, Hanumanthanagar,
Bangalore-19",Karranji Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
91,91,"Ramamandira, Rajajinagara,
2nd Block, Bangalore-10","Rajajinagara
Plyground",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
92,92,"Corporation Hospital, Beside
Cambridge Road, Cambridge
Layout, Bangalore-08","Alasur Police
Station",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
93,93,"Vijaya kiran Apprtment
Premises, Victoria Layout,
ASC centre, Bangalore","Toyota Car
Showroom",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
94,94,"6Th Cross, Milk booth Park
Premises, VictoriaLayout,
Bangalore",Vijaya Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
95,95,"Coles Park Milkbooth Clive
Line Town Road, Shivajinagara,
Bangalore-01",Coles Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
96,96,"Moor Road market, Clive
Line Town Road, Shivajinagara,
Bangalore-01",Ashoka Theatre,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
97,97,"19th Main Gandhi Bhavan
Kumara Park E & W Road,
Shivananda Store, Bangalore","Chitrakala
parishath",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
98,98,"Srinagara Bus stand
corporation Complex,
Srinagara, Bangalore -50","Ramanjaneya
gudde Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
99,99,"Indhiranagara 1st stage,
Market Road, Near BM
Sri circle, Bangalore",C.M.H Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
100,100,"Austin town, 100ft Main Road,
Word office beside, Bangalore","B.D.A.Complex
Neela sandhra",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
101,101,"Century club, Cubban Park,
Bangalore-01",Tenncy court,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
102,102,"12th Cross, Milk Booth,
R.T.Nagara, Bus stand,
Bangalore","B.D.A
Complex",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
103,103,"Yeshwanthapura Market Road,
Word office, Bangalore-22","Gayathri
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
104,104,"Browing institute, St.mark Road,
British library, Bangalore-1","Cricket
Stadium",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
105,105,"Nisarga Layout, Bannerugatta
Post, Anekal Road, Bangalore
Rural Dist.","Gigani
Village",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
106,106,"D.R.D.O Township,
C.V.Raman nagara,
Bangalore",Balaji Theatre,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
107,107,"12th Cross, 2nd Main, WCR
2nd stage, Mahalakshmi Puram
Bangalore",Chord Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
108,108,"Bangalore Diary Shopping
Complex, Hosur Road,
Bangalore",Christ College,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
109,109,"Head Office Complex
Dr. Mari gowda Road Lalbagh,
Bangalore-04","Double Road
Circle",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
110,110,"Head office Complex
Dr. Mari gowda Road lalbagh,
Bangalore-04","Double Road
Circle",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
111,111,"C.P.R.I.Community hall,
Ramaiah College Road, Gokul,
Bangalore","Police Station,
Sadashivanagara",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
112,112,"Raitha seva sahakara sangha
Complex, Old town
Yellahanka, Bangalore","General
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
113,113,"NIMHANS Hospital Premises,
Hosur Road, Bangalore-27",NIMHANS,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
114,114,"10th main, 6th Cross,
HAL 2nd stage, Bangalore","Indhirangara
Club",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
115,115,"8th Cross, 12th main,
Dhoopanahalli, HAL 2nd Stage,
Bangalore","Indhirangara
TelePhone
Exchange",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
118,118,"8th Cross, 13th main,
Dhoopanahalli, HAL 2nd Stage,
Bangalore",ESI Hospital,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
119,119,"8th main,6th Cross, Milk
Booth beside, Miranda School
Opposite, HAL 2nd Stage,
Bangalore","Cambridge
School",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
120,120,"10th Main,Bheema Nagar
PWD Quatras, HAL, Bangalore",Safal Market,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
122,122,"Frazer town, Lajal Road,
Bangalore","Frazer town
Police Station",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
123,123,"G.K.W.Layout,
Vijayanagar,
Bngalore-40","B.M.T.C
Bus Stand",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
124,124,"Home School beside,
Bombay Enclive appartment,
Basavanagudi, Bangalore-4","Krishna
Rao park",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
125,125,"Vidhya peeta road, Kathriguppe,
BMTC depo, BSK 3rd stage,
Bangalore",Vidhya Peeta,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
126,126,"1st cross, 1st Main, New Thippa
Sandhra, HAL 3rd Stage,
Bangalore",BEML Layout,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
127,127,"Milton Street, Cookes town,
Shivajinagar, Bangalore",ITC Factory,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
128,128,"Ganesh Temple Opposite,
Anandanagara, Hebbal Main
Raod, SBM Bank, Bangalore",Canara Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
129,129,"K.R.Circle, New public office,
Nrupathunga Road, Bangalore-01",M.S.Building,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
130,130,"Income Tax layout, Police
Commissioner Office Beside,
Infantry Raod, Bangalore-1",Coffee Board,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
131,131,"I.I.M. Premises Post office
Opp.Bhannerughatta Road,
Arakere, Bangalore","Monthri
Appartment",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
132,132,"Jala vihar Appartment,
Kammanahalli Main Road,
Bangalore",Banasavadi,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
134,134,"5th Cross K.C.General Hospital
premises, Malleshwaram,
Bangalore-3","Malleshwaram
Police station",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
135,135,"B.N.C.S.Nursary, Beside HMT
Colony, BEL Road, Bangalore",H.M.T.Factory,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
137,137,"7th C Main, 19th Cross, Milk
Booth Basaweshwarangara,
Bangalore",Police Station,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
138,138,"Kirloskar Colony, Milk booth,
BCC Ply ground ACR
Basaweshwara, Bangalore",Shankar Mutt,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
139,139,"3rd main B.B.M.P Word Office,
Lalitha Clinic Opp Mahalakshmi
Layout, Bangalore","Anjaneya
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
140,140,"Central Silk Board, BTM Layout
premises 2nd stage, Bangalore",Silk Board,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
141,141,"2nd Main, 1st stage,
Nagashettihalli, Sanjay Nagara
Road, Bangalore",Hebbal Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
142,142,"Rest house park Pre Bridge
Road beside, Saldana house,
Bangalore-1","Times Of
INDIA",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
143,143,"1st cross, 1st Main CILRMV
Extension, 2nd Stage, Sanjay
Nagara,Bangalore","Radha Kriahna
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
144,144,"11th B Cross, 25th main,
Milk booth, 1st Phase,
J.P.ngara, Bangalore-78",LIC Quarters,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
145,145,"HMT Layout, 2nd Block Near
plyground, Vidhyaranya Puram,
Bangalore","Jallimara
Reliance fresh",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
146,146,"Ganesha temple Opp R.P.C
Layout, Pipeline, Vijayanagara,
Bangalore","Adhichunchanagiri
College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
147,147,"24th Cross, 19th Main B.D.A
Complex, BSK 2nd Stage,
Bangalore -70",B.D.A.Complex,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
148,148,"10th Cross, 21st Main, Milk
booth, J.P.Nagar 2nd Phase,
Bangalore-78","CINE actor
Ambarish House",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
149,149,"12th Main, Post Office Road,
2nd Block, Koramangala,
Bangalore","John floor
Mill",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
150,150,"17th G Main 6th Cross,
6th Block, Koramangala,
Bangalore",Reddy School,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
151,151,"1st D Main, 1st Cross,
8th Block, Koramangala,
Bangalore","Nandini
Delux Hotel",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
152,152,"4th Cross, 8th Block,
Ganesh Temple,
Koramangala, Bangalore","Kalyana
mantapa",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
153,153,"Gavi Gangadheshwara
Temple Circle, K.G
Nagara, Bangalore -19","K.G.Police
Station",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
154,154,"2nd Cross, 6th Main, Appu
Rao Raod, Kempegowdanagar,
Chamarajapet, Bangalore-18",UMA theater,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
155,155,"Mahanth Extn, B.H.S School
Opp.Chamarajapet,
Bangalore -18","Maratha
Hostel",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
156,156,"80 Ft Road, 3rd Cross,
RMV 2nd Stage, Gokul,
Bangalore","M.S.Ramaiah
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
157,157,"6th Cross, 1st main, U.A.S
HBCS Layout, Bangalore",Hebbal,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
158,158,"5th Cross ,5th Main NGEF
Layout, Bypanahalli,
Bangaloreore-3","NGEF
Factory",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
160,160,"Devasandra Hoddi Road,
K.R.Puram, Bangalore","Venu Gopala
Swamy Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
162,162,"Milk booth, Sadanandanagar,
NGEF Layout, Bangalore","NGEF
Factory",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
163,163,"Gandhi Grama Mahadevapura
Road, Immda halli, Bangalore",White Field,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
164,164,"4th Division Telephone Exchange,
Near Govt School,
Sampangiramanagar Bangalore-02",Mission Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
165,165,"8th B Cross, K.H.B Complex
Satallite Town, Yelahanka,
Bangalore","Sheshadri
Degree College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
166,166,"1st Cross, 8th main,
4th Block, Koramangala,
Bangalore 09",Canara Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
167,167,"B.T.M. Main Road, 2nd Stage,
BTMC Bus stand, Bangalore","Kuvempunagara
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
168,168,"B.T.M Layout Vyasya Bank
Colony 1st Stage, Beside Mico
Layout, Bangalore","Jayadeva
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
169,169,"Amarajyothi school Opp
Devasandhra Road
K.R.Puram, Bangalore",CITY college,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
171,171,"Santhe Maidana, Devasandra
Road, K.R.Puram, Bangalore","ITI B.M.T.C
Dept",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
173,173,"Maruthi Rock Attiguppe
2nd Stage Vijayanagara,
Bangalore 40",Maruthi Rock,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
174,174,"C.A.Site milk booth,
Vijayanagara Main Road,
Bangalore-40","Sharavathi
Nursing home",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
175,175,"H.B.C.S 2nd Stage, R.P.C
Layout, Muddlupalya Bus Stand,
Vijayanagar, Bangalore-40","Appayanna
Kalyana mantap",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
176,176,"Bugall Rock Road, Basavanagudi
Police station Road, Bangalore-4","B.M.S Women
College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
177,177,"I.T.I.Layout, Binson Town
Miller Road, Shivajinagar,
Bangalore",Nandi durga,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
178,178,"3rd Main road, Govt.Qrts,
Jayamal Extn, JC Nagar,
Bangalore",Palace Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
179,179,"Apmc Office Pre Rajbhavan
Road, Bangalore-1","Income tax
Office",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
180,180,"Govt Library Opp Inner
Circle White Field, Bangalore","I.T Park
Center",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
181,181,"B.D.A Complex Kallahalli,
Near MEG Center Bangalore-08",Alsoor Lake,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
182,182,"Govt School Pre Garudachar
Palya, White Field Road,
Bangalore","Hero honda
Showroom",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
183,183,"4th Main, 17th Cross, Milk
booth Dasarahalli, Basaveshwara
Nagara, Bangalore","Hotel Pavithra
Paradise",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
184,184,"8th main, Milk Booth,
Basaveshwara Nagara, Bangalore",SBI Colony,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
185,185,"T.B.hospital, Byrasandra,
Jayanagara East, Bangalore","Nimhans
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
186,186,"Jayanagara General Hospital
Pre 4th Block Jayanagar,
Bangalore-41","B.M.T.C
Depo",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
187,187,"Audugodi Police Qtrs Audugodi,
Hosur Road, Bangalore",PVR Theater,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
